label,HRV,meanX,stdX,magX,meanY,stdY,magY,meanZ,stdZ,magZ,step,distance,home,work,screenTime
1,79.66,-829.32,31.46,8299.16,542,90.76,5495.47,-140.69,139.36,1980.25,0,0,0,1,17.44
1,54.39,-573.48,4.28,5734.96,832.67,6.28,8326.94,42.05,8.89,429.79,134,1,0,1,5.075
1,74.6,-224.3,2.09,2243.1,492.04,6.41,4920.82,-912.15,4.22,9121.6,0,0,0,1,0
1,65.36,-396.84,82.24,4052.73,714.22,183.66,7374.57,444.73,326.72,5518.41,0,0,0,1,20.046
1,28.2,-598.61,51.44,6008.16,-391.43,63.09,3964.82,-738.6,76.56,7425.58,0,0,0,1,20.046
1,31.31,-172.02,11.33,1723.92,63.9,48.38,801.5,-1048.24,8.64,10482.76,0,0,0,1,250.697
1,21.98,-180.15,2.85,1801.73,103.9,6.2,1040.85,-1044.36,1.9,10443.62,0,0,0,1,241.546
1,93.09,-176.41,3.19,1764.39,163.7,14.18,1643.13,-1037.11,4.11,10371.18,0,0,0,1,11.766
1,38.03,-819.66,17.18,8198.4,446.78,73.28,4527.49,-407.13,92.34,4174.7,0,0,0,1,31.902
0,44.46,813.5,239.39,8479.91,423.5,245.5,4895.11,-407.02,289,4991.83,161,1,1,0,0
0,44.38,-461.13,318.64,5605.09,388.37,522.02,6506.42,-586.45,127.06,6000.57,21,1,1,0,0
0,58.15,-766.57,6.47,7665.97,592.4,20.55,5927.56,245.58,25.26,2468.75,0,0,1,0,10.505
0,12.9,335.73,105.88,3520.31,-29.54,80.53,857.79,-1018.15,69.3,10205.06,45,1,0,0,5.536
0,11.8,-298.24,233.24,3786.11,919.27,337.71,9793.4,-64.55,213.15,2227.05,138,1,0,0,8.298
0,18.53,614.12,330.59,6974.47,551.48,194.3,5847.07,-423.18,493.15,6498.29,202,1,1,0,65.392
0,50.58,-277.86,6.03,2779.25,289.81,20.17,2905.11,-983.49,8.05,9835.23,759,1,1,0,0
0,22.45,-887.14,20.38,8873.74,450.06,63.11,4544.63,-58.41,153.82,1645.34,0,0,1,0,4.076
0,59.68,-741.32,4.44,7413.33,592.68,6.23,5927.13,305.24,5.26,3052.85,0,0,1,0,15.152
0,30.64,-619.17,12.06,6192.88,755.71,11.73,7558.01,218.5,47.91,2236.91,0,0,1,0,11.076
1,75.66,-821.12,19.72,8213.57,530.03,20.66,5304.33,205.33,31.08,2076.69,270,1,1,0,27.027
1,39.41,-215.81,38.57,2192.29,129.55,100.82,1641.57,-1023.23,96.66,10277.85,0,0,1,0,27.474
1,20.72,-61.53,16.74,637.68,-757.43,49.69,7590.58,-724.09,49.9,7258.07,0,0,1,0,15.487
0,20.08,148.48,306.6,3406.56,548.37,449.75,7092.15,-665.33,536.03,8543.97,185,1,1,0,0
0,11.42,-307.47,91.09,3206.8,-859.85,69.13,8626.24,-457.18,162.05,4850.5,43,1,1,0,0
0,31.6,-486,1.52,4860.02,-730.36,1.91,7303.62,465.03,2.32,4650.36,0,0,1,0,13.966
0,45.18,52.37,64.77,832.96,-828.62,54.84,8304.33,-639.1,55.99,6415.48,0,0,1,0,13.966
0,22.1,-267.94,190.66,3288.52,714.74,250.36,7573.18,-567.03,333.68,6579.23,0,0,0,0,0
0,20.18,-577.37,168.02,6013.22,716.2,263.13,7630.07,-63.46,343.18,3489.94,0,0,0,0,8.325
0,15.43,-701.31,131.93,7136.12,56.82,652.69,6551.58,-320.03,151.11,3539.13,0,0,0,0,14.475
0,28.36,0.04,4.87,48.72,652.77,16.41,6529.76,-831.51,13.38,8316.18,0,0,0,0,7.642
0,19.23,-175.59,70.31,1891.43,994.22,50.28,9954.9,40.42,122.13,1286.49,0,0,0,0,0
0,34.56,-648.69,71.54,6526.23,463.92,311.61,5588.57,-444.34,375.69,5818.79,0,0,0,0,0
0,54.08,488.61,509.11,7056.46,378.63,483.68,6142.55,-149.85,508.8,5304.11,0,0,0,0,8.126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45.95,-17.51,232.45,2331.1,785.47,217.71,8150.84,329.71,529.07,6233.93,380,1,0,0,8.299
0,33.43,-233.49,11.44,2337.7,386.11,25.75,3869.68,-959.93,12.69,9600.14,93,1,0,0,17.127
0,37.42,-671.05,194.79,6987.49,226.36,125.48,2588.13,-716.56,152,7325.04,0,0,0,0,97.513
1,28.77,-826.51,5.68,8265.29,577.16,15.66,5773.72,-74.58,18.16,767.6,110,1,0,0,0
1,14.38,-712.59,23.54,7129.79,153.73,100.66,1837.51,-736.85,58.32,7391.54,0,0,0,0,6.324
1,44.33,-203.78,1.63,2037.87,322.36,3.19,3223.76,-993.39,2.05,9933.92,0,0,0,0,6.324
1,74.68,-195.53,33.59,1983.94,300.13,58.18,3057.17,-1000.45,50.22,10017.1,0,0,0,0,0
1,27.25,-769.81,15.57,7699.67,440,45.05,4423,-526.24,15.16,5264.58,0,0,0,0,0
1,18.53,-186.04,23.51,1875.19,317.67,65.09,3242.7,-994.92,35.83,9955.65,0,0,0,0,8.066
1,20.15,-173.82,3.15,1738.49,364.97,11.08,3651.38,-984.42,5.72,9844.37,0,0,0,0,8.066
1,27.1,-865.19,3.03,8651.95,138.15,24.4,1402.88,-541.96,4.42,5419.78,0,0,0,0,0
1,13.15,-957.53,3.53,9575.37,190.24,13.09,1906.9,-291.33,4.84,2913.7,0,0,0,0,8.433
1,39.4,349.61,438.94,5611.55,197.15,291.42,3518.47,-277.09,788.59,8358.56,27,1,0,0,17.444
1,64.04,-483.39,2.22,4833.95,-803.13,1.89,8031.32,-429.5,2.53,4295.07,15,1,1,0,0
1,44.79,-489.18,1.82,4891.83,-757.16,2.19,7571.63,-509.53,2.38,5095.36,0,0,1,0,0
1,39.64,-491.78,2.33,4917.86,-692.51,2.56,6925.15,-598.49,2.16,5984.94,0,0,1,0,11.288
1,75.05,-149.76,3.52,1498.01,-541.21,32.4,5421.79,808.92,31.12,8095.18,0,0,1,0,11.288
0,60.82,-847.65,1.77,8476.52,-333.17,1.6,3331.74,-478.64,2.62,4786.47,0,0,1,0,8.284
0,48.26,-827.77,1.75,8277.72,-341.15,1.94,3411.55,-509.09,2.22,5090.95,0,0,1,0,0
0,27.41,584.28,625.83,8561.83,90,361.58,3726.08,-96.37,490.86,5002.31,0,0,1,0,9.729
0,46.31,-476.75,84.68,4842.12,-616.04,396.39,7325.49,-665.01,143.01,6802.13,480,1,1,0,13.794
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.794
